payee,mn_count,power
3Tg9DuQMUz6CeLkxFdyVYVe8WV4HCzqS9k,4,0.146681335
3mkNLzxgMiuaC8SxqLuuHMZgagmm94f9jh,4,0.146681335
3VBpiSXBD9Vnivj8eE2RAxbkF8SmaB4BmV,4,0.146681335
3jPvfrXuUECypZf2Fj914yvKjrmZowWPY6,4,0.146681335
3Su88kNZNkaQXqTrxj8urwAsHSkoMnhgQ5,4,0.146681335
3h9tVNhmEECABk2nLCQ7dnnKdPbEBq4cAs,4,0.146681335
3onSJsF5Es2TDXCtMZuZK8j14dN5YUMUeb,4,0.146681335
3g5KjVXd3UKJ68BNuka91F3y9NkEXiwdRt,4,0.146681335
3bEoCLfUDez8Jycbw55Ctp7LVKBUDd7Uou,4,0.146681335
3a8qfB3xggJypcUKDrwtz2NqL46DfcdkMP,4,0.146681335
3hMFyJektxWRW8CftsQM8GPnwk2DQKaeir,4,0.146681335
3YGcwzFjA4xzvPZ2VbdroWQRnZGK2xJWFU,3,0.110011001
3Wip678Q8VwhRXjf7zfHGqJhj1fBh1oZ4s,3,0.110011001
3bcitv3F1GZFkqLway2pih82kxCgsMDXD3,3,0.110011001
3WgzGKL25wso1UCvPmqDQwTf7ZEqBrtHgX,3,0.110011001
3egf3DasgSN1fTp8SFmVDd4c7cjsWQfkRq,3,0.110011001
3jnfd56Wmrd3fiZuNDZdfTFjRbpvYX5Uj8,3,0.110011001
3jzt6MkvhhV2oumsFrpR3AzHcHWBxw6vZm,3,0.110011001
3cTNHE5rMh1wgb8RtrRGEDGz6FmJnbxGkB,3,0.110011001
3ZjF1mAmVXXm8Qbn6mCEHCpehD5UA54iPQ,3,0.110011001
3WKUj1i467jfKVsDjvsMUicfJR3xJkYheV,3,0.110011001
3coM9fTYrpdHXJ4w13jgPmTV9KEFLHf8XE,3,0.110011001
3WQJ4PVdiknGtVMTiewX9eNDUKuE6ZcSiK,3,0.110011001
3kvC6BDd7trCtywZdAwvSfVT3prbiF5i4H,3,0.110011001
3o7eWb2f5HfSbmWrbhDNayKYyL3N3grUbP,3,0.110011001
3bFhjgAc7UZFMLSp3X2AhPv3W5PSLR8btp,3,0.110011001
3iY5P8w6MCCyLaZyPQpHvckVdkTnC74ysP,3,0.110011001
3nJAaDoiXGW7G1YXfqxNN7PwTkJJhp2RHX,3,0.110011001
3SiX3WAnqNS9tQV4TjKqkQH63khuFJfgCd,3,0.110011001
3hFqUnXPHNH2as4LHe4TbGUS4a91waD3cj,3,0.110011001
3TiKgmS6ikt5HXamh5qCu6xcJXj9CmfKty,3,0.110011001
3gNUEkBDTupPnYfJxVfaWKfqhrkR82VQKJ,2,0.073340667
3mChS5acnkk28HrvMoMDpUsVrRKCmhiVeA,2,0.073340667
3ZHcTrAtYbem7oeFJWnkAevT5j7VkK92yQ,2,0.073340667
3at8fnU8czenfYNbu7QqEsuPjhJd5SqY1k,2,0.073340667
3b8jqvncBYRtqmFz6mnbCFgGF99WKpqVVC,2,0.073340667
3o7Az7DYwPP5J9WVrYdmQqoAfyfvA6z2Qt,2,0.073340667
3d7ck6jgt3cT8GdWHmRMkjZ2mfYzaEdbkr,2,0.073340667
3c1PmE7zzJ9KiBAPsHg2mLaapKrfvFiGrx,2,0.073340667
3nDRh9XBZphzUQTmBFgH3v7eESF5ohLEVD,2,0.073340667
3n1z6hoBDBMNGcRnJXNivep4iFL6TbGiKQ,2,0.073340667
3WHhGv4NdsFbTi94jkcdo7si685ELkUb85,2,0.073340667
3oGKCkEmDYAd8JwpeUugnP4GYzZjJFZjQJ,2,0.073340667
3XC3pJjkygmyN6ZVDWuDYhzf2VLaWdbQPS,2,0.073340667
3gVDhLi7rErEzN4vdShKzVUGUgcEHdKD7n,2,0.073340667
3oPj7FnfSzXoYuSYDgy5eTJnmhrntEvvCj,2,0.073340667
3UGWgfup3b6FBX3NZVXXyahnWsda2gk1FB,2,0.073340667
3RrMSVmDjFX66rNP8pTDrLthKfd64Xeozr,2,0.073340667
3pGri5NeL3zMEsLruRvFCciAiHg45xefee,2,0.073340667
3ZREeLyWVBezeygPoPd3EuMV6WGYFFo4s8,2,0.073340667
3cj9aWgcpczehBtzMxx33hHXY14NsQLJXf,2,0.073340667
3n5Mk5PXboW3S9iHeMQE6URsBrj9QTBRPB,2,0.073340667
3jyTPN9EbWcdwjuwvqBU1vKamoR1SZVx57,2,0.073340667
3Uf5Hn7kdJVNNNzi1vmrrM8jHdvB1qgG6L,2,0.073340667
3WSgU2iraZZj7gWf3TdULWXuftn951c148,2,0.073340667
3Vy1TmZdqTSLvhHsd1fKB47vQC52uZXeLY,2,0.073340667
3U5aLaoCMUrLbcJ926T9SttyEciUfpnzPj,2,0.073340667
3hEsYqUKqY6QquPwQVaqPfNB67P1JPdQs1,2,0.073340667
3fZnmBfEVS1L8PCuKD6VvK8aXis81xTKz9,2,0.073340667
3TCQ2K18zYAa9jsYJHbKAcvdwvb7WnQhjd,2,0.073340667
3dKoKLbDdYYS25ieWTdMtzP8QAfiHv3ca7,2,0.073340667
3SXNNehYT66kg1zf5fVfAW35YGBSvAofXU,2,0.073340667
3Ua1SC5ij8E2qRabBQ6wU51MFqnoXyDkSu,2,0.073340667
3i3nfvo5BeXmNSg2uqzt92S7QPdepPAkGo,2,0.073340667
3kFraxhC8HfzhUgeRpHZtheTQdadSNexNK,2,0.073340667
3nkQLRGqrAKbNiTUPsQXvFawfzdDH3RDc4,2,0.073340667
3XmHxM3v9DQ2JkTeiD27tN2JHLMr1dCViw,1,0.036670334
3Xps6rQwLT4f8sFHJQ2rBnCzjnLJsfqStz,1,0.036670334
3jQdF9XP1WaRcxEKrRGvZzpzT66eWxPsiR,1,0.036670334
3j6iSdTbungR8w3X7BWyQgq3WeGhah4Sn5,1,0.036670334
